Time [s],Value,Parity Error,Framing Error
-0.002063534000000,240,,
0.002102912000000,240,,
0.006269078000000,10,,
0.010436128000000,112,,
0.014602538000000,255,,
0.018768668000000,255,,
0.022935470000000,0,,
0.027101682000000,58,,
0.031268018000000,178,,
0.035434394000000,160,,
2.378955950000000,240,,
2.383122856000000,240,,
2.387289674000000,15,,
2.391456470000000,96,,
2.395623176000000,112,,
2.399790086000000,224,,
2.403956768000000,65,,
2.408123626000000,12,,
2.412290316000000,129,,
2.416457210000000,0,,
2.420623828000000,0,,
2.424790642000000,72,,
2.428957456000000,0,,
2.433124092000000,213,,
2.437291062000000,160,,
2.451050184000000,240,,
2.455216962000000,240,,
2.459383244000000,16,,
2.463550246000000,112,,
2.467716272000000,96,,
2.471882756000000,224,,
2.476049178000000,128,,
2.480215560000000,12,,
2.484381938000000,0,,
2.488548798000000,8,,
2.492714876000000,0,,
2.496881852000000,0,,
2.501048050000000,72,,
2.505214284000000,0,,
2.509381106000000,156,,
2.513546822000000,160,,
2.543959290000000,240,,
2.548126150000000,240,,
2.552292838000000,15,,
2.556459614000000,96,,
2.560626340000000,112,,
2.564793132000000,224,,
2.568959744000000,1,,
2.573126542000000,35,,
2.577293182000000,1,,
2.581460192000000,78,,
2.585626640000000,76,,
2.589793452000000,112,,
2.593960218000000,78,,
2.598126904000000,60,,
2.602293568000000,160,,
2.616036648000000,240,,
2.620202880000000,240,,
2.624369620000000,10,,
2.628535250000000,112,,
2.632702148000000,96,,
2.636868938000000,224,,
2.641035664000000,128,,
2.645201668000000,161,,
2.649367884000000,219,,
2.653534154000000,160,,
2.937255082000000,240,,
2.941421900000000,240,,
2.945588460000000,17,,
2.949755214000000,112,,
2.953921484000000,255,,
2.958087590000000,224,,
2.962254298000000,192,,
2.966420630000000,49,,
2.970587172000000,33,,
2.974753778000000,0,,
2.978920266000000,18,,
2.983086602000000,112,,
2.987252794000000,78,,
2.991419222000000,78,,
2.995585410000000,0,,
2.999752260000000,144,,
3.003918698000000,160,,
3.973967062000000,240,,
3.978133884000000,240,,
3.982300648000000,15,,
3.986467436000000,96,,
3.990634326000000,112,,
3.994800956000000,224,,
3.998967956000000,1,,
4.003134598000000,35,,
4.007301442000000,1,,
4.011468042000000,80,,
4.015634920000000,76,,
4.019801354000000,112,,
4.023968404000000,80,,
4.028135408000000,64,,
4.032301848000000,160,,
4.042157220000000,240,,
4.046322856000000,240,,
4.050490036000000,10,,
4.054656296000000,112,,
4.058822794000000,96,,
4.062989226000000,224,,
4.067155746000000,128,,
4.071322268000000,161,,
4.075488556000000,219,,
4.079654710000000,160,,
4.362960106000000,240,,
4.367126744000000,240,,
4.371293192000000,17,,
4.375459526000000,112,,
4.379626122000000,255,,
4.383792356000000,224,,
4.387959022000000,192,,
4.392124650000000,49,,
4.396291596000000,33,,
4.400458242000000,0,,
4.404624806000000,18,,
4.408791256000000,112,,
4.412957200000000,80,,
4.417124166000000,80,,
4.421290422000000,0,,
4.425457092000000,148,,
4.429623210000000,160,,
5.261628430000000,240,,
5.265795098000000,240,,
5.269961686000000,10,,
5.274128052000000,112,,
5.278294786000000,255,,
5.282460910000000,255,,
5.286627060000000,0,,
5.290794358000000,58,,
5.294960248000000,178,,
5.299126712000000,160,,
5.330643748000000,240,,
5.334810554000000,240,,
5.338977066000000,11,,
5.343144146000000,96,,
5.347311038000000,112,,
5.351477674000000,224,,
5.355644642000000,97,,
5.359811164000000,49,,
5.363977914000000,0,,
5.368144688000000,77,,
5.372311442000000,160,,
5.381203468000000,240,,
5.385369638000000,240,,
5.389536092000000,21,,
5.393702110000000,112,,
5.397868936000000,255,,
5.402035218000000,224,,
5.406201390000000,160,,
5.410367790000000,49,,
5.414534302000000,33,,
5.418700586000000,0,,
5.422867402000000,18,,
5.427033756000000,112,,
5.431200060000000,80,,
5.435366280000000,80,,
5.439532754000000,0,,
5.443699410000000,103,,
5.447865344000000,0,,
5.452031638000000,0,,
5.456198312000000,0,,
5.460365110000000,223,,
5.464530698000000,160,,
5.495646490000000,240,,
5.499813284000000,240,,
5.503979986000000,15,,
5.508146676000000,96,,
5.512313456000000,112,,
5.516480138000000,224,,
5.520646962000000,1,,
5.524813680000000,35,,
5.528980606000000,1,,
5.533147170000000,82,,
5.537314016000000,76,,
5.541480766000000,112,,
5.545647366000000,82,,
5.549814202000000,68,,
5.553980690000000,160,,
5.564521432000000,240,,
5.568687670000000,240,,
5.572854122000000,10,,
5.577020430000000,112,,
5.581186926000000,96,,
5.585353338000000,224,,
5.589519472000000,128,,
5.593686264000000,161,,
5.597852676000000,219,,
5.602018696000000,160,,
5.885322516000000,240,,
5.889489636000000,240,,
5.893655970000000,17,,
5.897822636000000,112,,
5.901989014000000,255,,
5.906155288000000,224,,
5.910321696000000,192,,
5.914488276000000,49,,
5.918654704000000,33,,
5.922821260000000,0,,
5.926987808000000,18,,
5.931154378000000,112,,
5.935319974000000,82,,
5.939487058000000,82,,
5.943653028000000,0,,
5.947820090000000,152,,
5.951986326000000,160,,
6.783569584000000,240,,
6.787736532000000,240,,
6.791903314000000,15,,
6.796070178000000,96,,
6.800236934000000,112,,
6.804403674000000,224,,
6.808570508000000,1,,
6.812737288000000,35,,
6.816904030000000,1,,
6.821070838000000,82,,
6.825237566000000,76,,
6.829404392000000,112,,
6.833571140000000,82,,
6.837737800000000,68,,
6.841904572000000,160,,
6.852736886000000,240,,
6.856903254000000,240,,
6.861069808000000,10,,
6.865236168000000,112,,
6.869402242000000,96,,
6.873569034000000,224,,
6.877735452000000,128,,
6.881902138000000,161,,
6.886068512000000,219,,
6.890234556000000,160,,
