Time [s],Value,Parity Error,Framing Error
-0.002067242000000,240,,
0.002099472000000,240,,
0.006265916000000,10,,
0.010432744000000,112,,
0.014599208000000,255,,
0.018765366000000,255,,
0.022931418000000,0,,
0.027098412000000,58,,
0.031264936000000,178,,
0.035431066000000,160,,
1.142555400000000,240,,
1.146722010000000,240,,
1.150888956000000,15,,
1.155055704000000,96,,
1.159222458000000,112,,
1.163389256000000,224,,
1.167556372000000,1,,
1.171722992000000,35,,
1.175889702000000,2,,
1.180056542000000,76,,
1.184223360000000,102,,
1.188389952000000,112,,
1.192556826000000,76,,
1.196723714000000,83,,
1.200889912000000,160,,
1.212824878000000,240,,
1.216991384000000,240,,
1.221157602000000,10,,
1.225324136000000,112,,
1.229490806000000,96,,
1.233657098000000,224,,
1.237823184000000,128,,
1.241990074000000,161,,
1.246156198000000,219,,
1.250322470000000,160,,
1.533627708000000,240,,
1.537794106000000,240,,
1.541960922000000,17,,
1.546127554000000,112,,
1.550293972000000,255,,
1.554459916000000,224,,
1.558626624000000,192,,
1.562793320000000,49,,
1.566959550000000,65,,
1.571125994000000,0,,
1.575292778000000,16,,
1.579459406000000,112,,
1.583625466000000,76,,
1.587792034000000,102,,
1.591958082000000,0,,
1.596124964000000,196,,
1.600291166000000,160,,
1.742977072000000,240,,
1.747143922000000,240,,
1.751310734000000,15,,
1.755477606000000,96,,
1.759644320000000,112,,
1.763810980000000,224,,
1.767977958000000,1,,
1.772144398000000,35,,
1.776311222000000,2,,
1.780477946000000,76,,
1.784644684000000,102,,
1.788811510000000,112,,
1.792978170000000,76,,
1.797144770000000,83,,
1.801311636000000,160,,
1.813604098000000,240,,
1.817770864000000,240,,
1.821937098000000,10,,
1.826103410000000,112,,
1.830270196000000,96,,
1.834436488000000,224,,
1.838602880000000,128,,
1.842769064000000,161,,
1.846935590000000,219,,
1.851102112000000,160,,
3.370071028000000,240,,
3.374237740000000,240,,
3.378404440000000,15,,
3.382571316000000,96,,
3.386738146000000,112,,
3.390905002000000,224,,
3.395071716000000,1,,
3.399238638000000,35,,
3.403405210000000,2,,
3.407571846000000,78,,
3.411738826000000,102,,
3.415905486000000,112,,
3.420072388000000,78,,
3.424239066000000,87,,
3.428405848000000,160,,
3.440956634000000,240,,
3.445122854000000,240,,
3.449289058000000,10,,
3.453455850000000,112,,
3.457622446000000,96,,
3.461788874000000,224,,
3.465955112000000,128,,
3.470121688000000,161,,
3.474288018000000,219,,
3.478454194000000,160,,
3.762176300000000,240,,
3.766342888000000,240,,
3.770509224000000,17,,
3.774675782000000,112,,
3.778842370000000,255,,
3.783008170000000,224,,
3.787175078000000,192,,
3.791341528000000,49,,
3.795507792000000,65,,
3.799674384000000,0,,
3.803841232000000,16,,
3.808007492000000,112,,
3.812173990000000,78,,
3.816339456000000,102,,
3.820507144000000,0,,
3.824673036000000,198,,
3.828839324000000,160,,
3.975075748000000,240,,
3.979242582000000,240,,
3.983409490000000,15,,
3.987576224000000,96,,
3.991743074000000,112,,
3.995909732000000,224,,
4.000076634000000,1,,
4.004243268000000,35,,
4.008410320000000,2,,
4.012576880000000,80,,
4.016743706000000,102,,
4.020910384000000,112,,
4.025077104000000,80,,
4.029243876000000,91,,
4.033410604000000,160,,
4.046318772000000,240,,
4.050485384000000,240,,
4.054651774000000,10,,
4.058818334000000,112,,
4.062984732000000,96,,
4.067151102000000,224,,
4.071317716000000,128,,
4.075484212000000,161,,
4.079650858000000,219,,
4.083816540000000,160,,
4.367538636000000,240,,
4.371704710000000,240,,
4.375871034000000,17,,
4.380037882000000,112,,
4.384204388000000,255,,
4.388370544000000,224,,
4.392537000000000,192,,
4.396703560000000,49,,
4.400869886000000,65,,
4.405036638000000,0,,
4.409203390000000,16,,
4.413369714000000,112,,
4.417535862000000,80,,
4.421702398000000,102,,
4.425868848000000,0,,
4.430035140000000,200,,
4.434201320000000,160,,
4.717580470000000,240,,
4.721747442000000,240,,
4.725914256000000,15,,
4.730081032000000,96,,
4.734247804000000,112,,
4.738414704000000,224,,
4.742581398000000,1,,
4.746748240000000,35,,
4.750914896000000,2,,
4.755081932000000,82,,
4.759248418000000,102,,
4.763415212000000,112,,
4.767581902000000,82,,
4.771748696000000,95,,
4.775915260000000,160,,
4.789168168000000,240,,
4.793334726000000,240,,
4.797501012000000,10,,
4.801667634000000,112,,
4.805833942000000,96,,
4.810000304000000,224,,
4.814166730000000,128,,
4.818333514000000,161,,
4.822499628000000,219,,
4.826666028000000,160,,
5.109970910000000,240,,
5.114137500000000,240,,
5.118304404000000,17,,
5.122470702000000,112,,
5.126636930000000,255,,
5.130803346000000,224,,
5.134970440000000,192,,
5.139136580000000,49,,
5.143302926000000,65,,
5.147469106000000,0,,
5.151635764000000,16,,
5.155802392000000,112,,
5.159968812000000,82,,
5.164134984000000,102,,
5.168301440000000,0,,
5.172467930000000,202,,
5.176634212000000,160,,
5.275372958000000,240,,
5.279539890000000,240,,
5.283706408000000,10,,
5.287872872000000,112,,
5.292039126000000,255,,
5.296205694000000,255,,
5.300371826000000,0,,
5.304538556000000,58,,
5.308704738000000,178,,
5.312871150000000,160,,
5.455502656000000,240,,
5.459669554000000,240,,
5.463836378000000,15,,
5.468003134000000,96,,
5.472169914000000,112,,
5.476336714000000,224,,
5.480503496000000,1,,
5.484670320000000,35,,
5.488836978000000,2,,
5.493003748000000,86,,
5.497170514000000,102,,
5.501337302000000,112,,
5.505503954000000,86,,
5.509670772000000,103,,
5.513837306000000,160,,
5.527434646000000,240,,
5.531601252000000,240,,
5.535767706000000,10,,
5.539934132000000,112,,
5.544100642000000,96,,
5.548267144000000,224,,
5.552433572000000,128,,
5.556599718000000,161,,
5.560766356000000,219,,
5.564932480000000,160,,
5.848237400000000,240,,
5.852403990000000,240,,
5.856570556000000,17,,
5.860737290000000,112,,
5.864903812000000,255,,
5.869069826000000,224,,
5.873236596000000,192,,
5.877402816000000,49,,
5.881569472000000,65,,
5.885735604000000,0,,
5.889902510000000,16,,
5.894068896000000,112,,
5.898235326000000,86,,
5.902401632000000,102,,
5.906567840000000,0,,
5.910734236000000,206,,
5.914900920000000,160,,
6.060506828000000,240,,
6.064673828000000,240,,
6.068840638000000,15,,
6.073007472000000,96,,
6.077174234000000,112,,
6.081341022000000,224,,
6.085507732000000,1,,
6.089674708000000,35,,
6.093841184000000,2,,
6.098008114000000,86,,
6.102174768000000,102,,
6.106341438000000,112,,
6.110508148000000,86,,
6.114674956000000,103,,
6.118841736000000,160,,
6.132796752000000,240,,
6.136963192000000,240,,
6.141130098000000,10,,
6.145296206000000,112,,
6.149462530000000,96,,
6.153629206000000,224,,
6.157795594000000,128,,
6.161962530000000,161,,
6.166128356000000,219,,
6.170294346000000,160,,
