Time [s],Value,Parity Error,Framing Error
-0.002069242000000,240,,
0.002097552000000,240,,
0.006264232000000,11,,
0.010431126000000,96,,
0.014597930000000,112,,
0.018764738000000,224,,
0.022931436000000,97,,
0.027098334000000,49,,
0.031265128000000,0,,
0.035431450000000,77,,
0.039598606000000,160,,
0.047519020000000,240,,
0.051684896000000,240,,
0.055851998000000,21,,
0.060018092000000,112,,
0.064184598000000,255,,
0.068350150000000,224,,
0.072517048000000,160,,
0.076683604000000,49,,
0.080850276000000,65,,
0.085016514000000,32,,
0.089182940000000,18,,
0.093349316000000,112,,
0.097515804000000,94,,
0.101682078000000,102,,
0.105848236000000,0,,
0.110014654000000,89,,
0.114180818000000,0,,
0.118347424000000,0,,
0.122514136000000,0,,
0.126680500000000,53,,
0.130847674000000,160,,
1.881518298000000,240,,
1.885685134000000,240,,
1.889851858000000,10,,
1.894017932000000,112,,
1.898184838000000,255,,
1.902350628000000,255,,
1.906516952000000,0,,
1.910683794000000,58,,
1.914850248000000,178,,
1.919016698000000,160,,
3.027533164000000,240,,
3.031700044000000,240,,
3.035866866000000,15,,
3.040033644000000,96,,
3.044200436000000,112,,
3.048367304000000,224,,
3.052533856000000,1,,
3.056700916000000,35,,
3.060867628000000,2,,
3.065034472000000,92,,
3.069201008000000,102,,
3.073367698000000,112,,
3.077534402000000,92,,
3.081701334000000,115,,
3.085868186000000,160,,
3.096410402000000,240,,
3.100576760000000,240,,
3.104743404000000,10,,
3.108909870000000,112,,
3.113076344000000,96,,
3.117242548000000,224,,
3.121409094000000,128,,
3.125575910000000,161,,
3.129742036000000,219,,
3.133908140000000,160,,
3.417630170000000,240,,
3.421796552000000,240,,
3.425962780000000,17,,
3.430129770000000,112,,
3.434296420000000,255,,
3.438462536000000,224,,
3.442628960000000,192,,
3.446795346000000,49,,
3.450962042000000,65,,
3.455128646000000,32,,
3.459295492000000,18,,
3.463461278000000,112,,
3.467627374000000,92,,
3.471793860000000,102,,
3.475960314000000,0,,
3.480126856000000,246,,
3.484293420000000,160,,
